,title,author,price
0,Белый Клык,"Лондон Д., Лондон Джек", 2.53 € 3.16 €
1,Белый Клык,"Д. Лондон, Лондон Д., Н. А. Волжина", 2.24 € 2.80 €
2,White Fang [= Белый Клык],London J., 2.51 € 3.14 €
3,White Fang / Белый клык: повесть на англ. яз.,London J., 5.15 € 6.44 €
4,Белый Клык = White fang : книга для чтения на английском языке,Лондон Д., 5.52 € 6.90 €
5,Белый Клык,"Джек, Лондон", 4.3 € 5.37 €
6,Белый клык,"Джек, Лондон", 3.03 € 3.79 €
7,Белый клык = White Fang,"Джек, Лондон", 2.41 € 3.01 €
8,ЭксклюзивКлассика Лондон Белый Клык. Зов предков,"Джек, Лондон", 3.06 € 3.82 €
9,Белый клык,"Джек, Лондон, Лондон Д.", 7.7 € 9.63 €
10,Белый клык,Лондон Д., 3.6 € 4.50 €
